YEAR,MO,DY,HR,Temp,Humidity,Pressure,Wind_Speed
2022,1,6,0,1.28,4.15,99.69,3.31
2022,1,6,1,1.19,4.09,99.69,3.52
2022,1,6,2,1.04,4.09,99.71,4.2
2022,1,6,3,0.77,3.97,99.78,4.81
2022,1,6,4,0.13,3.78,99.87,4.28
2022,1,6,5,-0.79,3.54,99.94,3.7
2022,1,6,6,-1.19,3.42,100.06,3.84
2022,1,6,7,-1.07,3.3,100.23,4.26
2022,1,6,8,-0.01,3.3,100.32,4.42
2022,1,6,9,1.13,3.05,100.41,4.83
2022,1,6,10,1.68,2.75,100.45,4.77
2022,1,6,11,2.21,2.62,100.41,4.5
2022,1,6,12,2.59,2.62,100.37,4.23
2022,1,6,13,2.5,2.62,100.37,3.99
2022,1,6,14,2.19,2.62,100.35,3.26
2022,1,6,15,1.16,2.81,100.38,2.34
2022,1,6,16,-1.57,2.75,100.49,2.54
2022,1,6,17,-1.86,2.75,100.56,2.49
2022,1,6,18,-1.46,2.87,100.57,1.92
2022,1,6,19,-1.27,2.93,100.62,1.57
2022,1,6,20,-1.08,2.93,100.57,1.33
2022,1,6,21,-1.35,2.93,100.48,1.56
2022,1,6,22,-1.41,2.93,100.43,1.9
2022,1,6,23,-1.33,2.93,100.38,2.28
2022,1,7,0,-1.35,2.99,100.28,2.88
2022,1,7,1,-1.32,3.11,100.12,3.56
2022,1,7,2,-1.39,3.17,100.03,3.47
2022,1,7,3,-1.56,3.11,99.96,3.67
2022,1,7,4,-1.88,3.05,99.89,3.9
2022,1,7,5,-2.23,2.99,99.85,4.25
2022,1,7,6,-2.46,2.93,99.85,4.53
2022,1,7,7,-2.63,2.87,99.88,4.89
2022,1,7,8,-2.52,2.81,99.93,5.19
2022,1,7,9,-2.04,2.81,99.98,5.53
2022,1,7,10,-1,2.81,100.01,6.16
2022,1,7,11,0.15,2.81,100,6.71
2022,1,7,12,0.61,2.75,100,6.94
2022,1,7,13,0.5,2.69,100.04,6.99
2022,1,7,14,-0.01,2.56,100.17,6.72
2022,1,7,15,-0.87,2.44,100.32,6.24
2022,1,7,16,-1.88,2.38,100.5,5.75
2022,1,7,17,-2.55,2.32,100.68,5.6
2022,1,7,18,-3.19,2.26,100.84,5.46
2022,1,7,19,-3.56,2.2,100.96,5.41
2022,1,7,20,-4.1,2.14,101.07,5.27
2022,1,7,21,-4.59,2.01,101.17,5.48
2022,1,7,22,-5.16,1.89,101.27,5.59
2022,1,7,23,-5.71,1.77,101.36,5.63
2022,1,8,0,-6.1,1.77,101.42,5.66
2022,1,8,1,-6.42,1.71,101.52,5.6
2022,1,8,2,-6.77,1.71,101.65,5.46
2022,1,8,3,-7.07,1.71,101.76,5.31
2022,1,8,4,-7.38,1.65,101.89,5.13
2022,1,8,5,-7.85,1.59,102.04,4.73
2022,1,8,6,-8.59,1.53,102.19,4.33
2022,1,8,7,-9.1,1.46,102.34,4.31
2022,1,8,8,-7.6,1.53,102.49,4.54
2022,1,8,9,-6.03,1.59,102.61,4.68
2022,1,8,10,-4.58,1.65,102.66,4.33
2022,1,8,11,-3.21,1.71,102.62,3.74
2022,1,8,12,-2.13,1.77,102.55,3.03
2022,1,8,13,-1.45,1.77,102.52,2.29
2022,1,8,14,-1.21,1.71,102.53,1.45
2022,1,8,15,-1.77,1.71,102.53,0.73
2022,1,8,16,-3.36,1.65,102.55,0.85
2022,1,8,17,-4.75,1.65,102.58,1.51
2022,1,8,18,-5.92,1.71,102.62,2.1
2022,1,8,19,-6.41,1.77,102.63,2.54
2022,1,8,20,-6.39,1.77,102.61,2.81
2022,1,8,21,-6.02,1.89,102.56,2.95
2022,1,8,22,-5.5,2.01,102.47,3.02
2022,1,8,23,-5.32,2.14,102.33,3.25
2022,1,9,0,-4.95,2.2,102.3,3.57
2022,1,9,1,-4.6,2.32,102.29,3.86
2022,1,9,2,-4.95,2.32,102.23,3.42
2022,1,9,3,-5.12,2.38,102.16,3.03
2022,1,9,4,-4.75,2.44,102.06,2.95
2022,1,9,5,-4.09,2.56,101.95,3.17
2022,1,9,6,-3.5,2.69,101.84,3.45
2022,1,9,7,-2.63,2.93,101.7,3.62
2022,1,9,8,-0.45,3.3,101.61,4.54
2022,1,9,9,0.73,3.54,101.56,5.06
2022,1,9,10,1.55,3.6,101.46,5.56
2022,1,9,11,2.61,3.54,101.27,6.65
2022,1,9,12,2.36,3.6,101.06,6.72
2022,1,9,13,2.07,3.78,100.86,6.33
2022,1,9,14,2.4,3.97,100.74,6.16
2022,1,9,15,2.27,4.09,100.71,5.58
2022,1,9,16,1.95,4.15,100.68,5.06
2022,1,9,17,1.73,4.15,100.64,4.62
2022,1,9,18,1.54,4.15,100.61,4.41
2022,1,9,19,1.48,4.15,100.57,4.31
2022,1,9,20,1.33,4.09,100.53,3.7
2022,1,9,21,1.15,4.09,100.52,3.44
2022,1,9,22,1.07,4.03,100.51,3.45
2022,1,9,23,0.98,4.03,100.53,3.43
2022,1,10,0,0.98,3.91,100.56,4.37
2022,1,10,1,0.44,3.48,100.65,5.74
2022,1,10,2,-0.8,2.87,100.77,6.27
2022,1,10,3,-1.95,2.38,100.84,6.24
2022,1,10,4,-2.79,2.14,100.89,5.92
2022,1,10,5,-3.81,2.01,100.97,5.22
2022,1,10,6,-4.73,1.89,101.03,4.82
2022,1,10,7,-5.3,1.83,101.11,4.55
2022,1,10,8,-4.31,1.83,101.16,4.96
2022,1,10,9,-3.56,1.77,101.19,5.53
2022,1,10,10,-3.03,1.71,101.19,5.48
2022,1,10,11,-2.51,1.71,101.12,5.2
2022,1,10,12,-2.18,1.71,101.05,5.11
2022,1,10,13,-2.1,1.71,101.02,5.12
2022,1,10,14,-2.37,1.71,101.02,5.04
2022,1,10,15,-3.16,1.71,101.05,4.63
2022,1,10,16,-4.33,1.77,101.11,3.87
2022,1,10,17,-4.79,1.77,101.16,3.53
2022,1,10,18,-4.94,1.83,101.21,3.42
2022,1,10,19,-5.51,1.83,101.22,3.21
2022,1,10,20,-5.68,1.89,101.2,3.36
2022,1,10,21,-6.04,1.89,101.2,3.64
2022,1,10,22,-6.55,1.89,101.21,3.82
2022,1,10,23,-6.78,1.83,101.25,4.04
2022,1,11,0,-6.88,1.77,101.29,4.5
2022,1,11,1,-6.95,1.65,101.39,5.37
2022,1,11,2,-7.5,1.46,101.51,5.86
2022,1,11,3,-8.46,1.34,101.61,5.88
2022,1,11,4,-9.04,1.34,101.74,5.98
2022,1,11,5,-9.44,1.28,101.9,6.23
2022,1,11,6,-10.37,1.16,102.08,6.53
2022,1,11,7,-11.45,1.04,102.22,6.31
2022,1,11,8,-11.48,0.98,102.32,6.06
2022,1,11,9,-10.77,0.98,102.39,5.82
2022,1,11,10,-9.86,0.98,102.45,5.5
2022,1,11,11,-8.98,1.04,102.44,5.2
2022,1,11,12,-8.34,1.1,102.37,4.81
2022,1,11,13,-7.95,1.1,102.32,4.4
2022,1,11,14,-7.89,1.1,102.33,4.01
2022,1,11,15,-8.44,1.1,102.36,3.59
2022,1,11,16,-10.02,1.1,102.42,2.91
2022,1,11,17,-11.02,1.16,102.47,2.36
2022,1,11,18,-11.31,1.16,102.5,2.06
2022,1,11,19,-11.31,1.16,102.47,1.64
2022,1,11,20,-10.92,1.04,102.39,0.91
2022,1,11,21,-10.71,0.98,102.32,0.27
2022,1,11,22,-11.19,1.04,102.25,1.3
2022,1,11,23,-11.48,1.16,102.18,2.09
2022,1,12,0,-11.23,1.22,102.11,2.63
2022,1,12,1,-10.51,1.28,102.04,3.08
2022,1,12,2,-9.62,1.4,101.97,3.34
2022,1,12,3,-9.24,1.46,101.9,3.58
2022,1,12,4,-9.06,1.53,101.83,3.66
2022,1,12,5,-8.81,1.65,101.73,3.76
2022,1,12,6,-8.34,1.77,101.62,3.81
2022,1,12,7,-7.47,1.89,101.51,4.1
2022,1,12,8,-5.01,2.14,101.42,4.66
2022,1,12,9,-2.61,2.32,101.34,6.25
2022,1,12,10,-0.7,2.38,101.24,6.77
2022,1,12,11,0.74,2.56,101.1,6.52
2022,1,12,12,1.8,2.81,100.97,6.02
2022,1,12,13,2.48,2.99,100.88,5.36
2022,1,12,14,2.68,3.17,100.84,4.54
2022,1,12,15,1.98,3.36,100.85,3.29
2022,1,12,16,-0.68,3.17,100.88,2.84
2022,1,12,17,-1.56,2.99,100.92,2.84
2022,1,12,18,-1.63,2.99,100.96,2.74
2022,1,12,19,-1.62,2.99,100.98,2.65
2022,1,12,20,-1.64,2.99,100.99,2.46
2022,1,12,21,-1.63,2.99,100.97,2.28
2022,1,12,22,-1.57,2.99,100.97,2.15
2022,1,12,23,-1.52,2.99,100.93,2
2022,1,13,0,-1.46,2.93,100.89,1.82
2022,1,13,1,-1.62,2.93,100.87,1.68
2022,1,13,2,-1.81,2.93,100.83,1.56
2022,1,13,3,-1.85,2.93,100.79,1.4
2022,1,13,4,-1.72,2.93,100.78,1.11
2022,1,13,5,-1.43,2.93,100.77,0.74
2022,1,13,6,-1.45,2.87,100.8,0.68
2022,1,13,7,-1.53,2.87,100.82,0.95
2022,1,13,8,-0.6,3.11,100.83,1.09
2022,1,13,9,1.25,3.23,100.82,1.26
2022,1,13,10,3.54,3.48,100.76,1.12
2022,1,13,11,5.64,3.6,100.67,1.27
2022,1,13,12,6.3,3.78,100.54,1.37
2022,1,13,13,5.98,4.03,100.45,1.41
2022,1,13,14,5.05,4.46,100.41,1.29
2022,1,13,15,3.48,4.03,100.38,1.78
2022,1,13,16,2.39,3.66,100.37,2.05
2022,1,13,17,1.53,3.66,100.37,2.27
2022,1,13,18,0.9,3.66,100.38,2.36
2022,1,13,19,0.76,3.78,100.37,2.45
2022,1,13,20,0.76,3.85,100.34,2.55
2022,1,13,21,0.76,3.97,100.3,2.55
2022,1,13,22,0.81,4.03,100.24,2.61
2022,1,13,23,0.98,4.09,100.15,2.89
2022,1,14,0,1.07,4.09,100.04,3.13
2022,1,14,1,0.93,4.03,100.01,3.07
2022,1,14,2,0.68,3.91,100.02,3.01
2022,1,14,3,0.52,3.85,100.02,3.32
2022,1,14,4,0.53,3.85,100.01,3.65
2022,1,14,5,0.58,3.85,99.99,3.92
2022,1,14,6,0.51,3.85,99.98,4.18
2022,1,14,7,0.44,3.78,99.93,4.64
2022,1,14,8,1.37,3.91,99.9,5.38
2022,1,14,9,2.58,3.97,99.87,6.02
2022,1,14,10,3.44,4.03,99.88,6.61
2022,1,14,11,3.69,4.03,99.88,7.08
2022,1,14,12,3.51,3.85,99.86,7.34
2022,1,14,13,3.1,3.66,99.85,7.49
2022,1,14,14,2.5,3.42,99.86,7.58
2022,1,14,15,1.62,3.23,99.89,7.66
2022,1,14,16,0.39,2.99,99.96,7.66
2022,1,14,17,-0.83,2.75,100.07,7.93
2022,1,14,18,-2.16,2.44,100.19,8.07
2022,1,14,19,-3.6,2.14,100.28,8.16
2022,1,14,20,-5.01,1.83,100.35,8.22
2022,1,14,21,-6.27,1.65,100.41,8.14
2022,1,14,22,-7.29,1.46,100.48,8.06
2022,1,14,23,-8.22,1.28,100.54,8.09
2022,1,15,0,-9.18,1.16,100.62,7.98
2022,1,15,1,-10.16,1.1,100.74,7.75
2022,1,15,2,-11.12,1.04,100.86,7.46
2022,1,15,3,-12.13,0.98,100.97,7.11
2022,1,15,4,-12.97,0.92,101.08,6.75
2022,1,15,5,-13.64,0.85,101.19,6.52
2022,1,15,6,-14.23,0.79,101.3,6.37
2022,1,15,7,-14.62,0.79,101.41,6.36
2022,1,15,8,-14,0.73,101.53,6.58
2022,1,15,9,-12.77,0.73,101.62,6.56
2022,1,15,10,-11.38,0.79,101.66,6.59
2022,1,15,11,-10.08,0.85,101.64,6.46
2022,1,15,12,-8.93,0.85,101.6,6.26
2022,1,15,13,-8.28,0.92,101.58,6
2022,1,15,14,-8.27,0.98,101.58,5.72
2022,1,15,15,-8.69,0.98,101.63,5.34
2022,1,15,16,-9.27,0.98,101.71,4.99
2022,1,15,17,-9.82,0.98,101.82,4.92
2022,1,15,18,-10.31,0.98,101.91,4.84
2022,1,15,19,-11.08,0.98,101.97,4.61
2022,1,15,20,-11.95,0.98,102,4.23
2022,1,15,21,-12.62,1.04,102.02,4.06
2022,1,15,22,-13.16,0.98,102.03,3.97
2022,1,15,23,-13.69,0.98,102.03,3.77
2022,1,16,0,-14.14,0.98,102.02,3.69
2022,1,16,1,-14.46,0.92,102.01,3.67
2022,1,16,2,-14.67,0.92,102.01,3.23
2022,1,16,3,-14.84,0.92,102.01,2.73
2022,1,16,4,-15.08,0.92,102.02,2.41
2022,1,16,5,-15.37,0.92,102.05,2.2
2022,1,16,6,-15.52,0.92,102.06,2.25
2022,1,16,7,-15.14,0.98,102.06,2.25
2022,1,16,8,-13.18,0.98,102.02,2.74
2022,1,16,9,-10.65,1.1,102.05,2.21
2022,1,16,10,-8.26,1.28,102.01,2.31
2022,1,16,11,-6.13,1.53,101.85,2.64
2022,1,16,12,-4.11,1.77,101.68,2.99
2022,1,16,13,-2.77,2.08,101.58,3.26
2022,1,16,14,-2.21,2.32,101.47,3.57
2022,1,16,15,-2.24,2.5,101.32,3.79
2022,1,16,16,-2.31,2.69,101.18,4.36
2022,1,16,17,-1.85,2.81,101.04,4.9
2022,1,16,18,-1.22,3.05,101.02,4.9
2022,1,16,19,-0.56,3.3,100.84,5.78
2022,1,16,20,0.06,3.54,100.6,6.51
2022,1,16,21,0.7,3.85,100.41,6.84
2022,1,16,22,1.27,4.09,100.11,8.09
2022,1,16,23,1.87,4.27,99.77,8.95
2022,1,17,0,2.27,4.39,99.47,9.55
2022,1,17,1,2.48,4.52,99.13,10.27
2022,1,17,2,3.01,4.7,98.75,10.91
2022,1,17,3,3.85,5,98.37,11.05
2022,1,17,4,4.9,5.43,98.02,11.47
2022,1,17,5,5.78,5.92,97.75,9.27
2022,1,17,6,5.5,5.74,97.66,5.99
2022,1,17,7,3.8,4.88,97.64,5.94
2022,1,17,8,2.82,4.46,97.62,6.47
2022,1,17,9,2.57,4.21,97.59,7.11
2022,1,17,10,2.58,4.03,97.58,7.39
2022,1,17,11,2.72,3.97,97.56,7.27
2022,1,17,12,2.76,3.97,97.57,6.96
2022,1,17,13,2.76,4.03,97.6,6.79
2022,1,17,14,2.54,3.97,97.67,6.53
2022,1,17,15,2.07,3.91,97.74,6.23
2022,1,17,16,1.26,3.85,97.83,5.85
2022,1,17,17,0.84,3.78,97.94,5.81
2022,1,17,18,0.51,3.72,98.07,5.89
2022,1,17,19,-0.07,3.48,98.21,6.03
2022,1,17,20,-0.65,3.17,98.32,6.09
2022,1,17,21,-1.09,3.05,98.43,6.05
2022,1,17,22,-1.29,2.93,98.53,6.25
2022,1,17,23,-1.39,2.93,98.63,6.51
2022,1,18,0,-1.45,2.87,98.74,7
2022,1,18,1,-1.49,2.75,98.91,7.71
2022,1,18,2,-2.03,2.5,99.1,8.1
2022,1,18,3,-2.88,2.32,99.28,7.88
2022,1,18,4,-3.52,2.2,99.44,7.23
2022,1,18,5,-3.55,2.2,99.61,6.73
2022,1,18,6,-3.41,2.2,99.77,6.13
2022,1,18,7,-3.12,2.26,99.9,5.48
2022,1,18,8,-2.13,2.38,100.02,5.37
2022,1,18,9,-0.73,2.5,100.14,6.14
2022,1,18,10,0.17,2.44,100.25,7.22
2022,1,18,11,0.34,2.32,100.31,7.83
2022,1,18,12,0.06,2.26,100.38,7.92
2022,1,18,13,-0.1,2.2,100.46,7.74
2022,1,18,14,-0.57,2.2,100.57,7.33
2022,1,18,15,-1.45,2.2,100.69,6.53
2022,1,18,16,-2.61,2.2,100.82,5.39
2022,1,18,17,-3.57,2.14,100.96,4.53
2022,1,18,18,-4.19,2.14,101.07,3.83
2022,1,18,19,-4.67,2.2,101.14,3.22
2022,1,18,20,-5.07,2.2,101.19,2.73
2022,1,18,21,-5.41,2.2,101.23,2.41
2022,1,18,22,-5.56,2.14,101.26,2.03
2022,1,18,23,-5.27,2.14,101.26,1.47
2022,1,19,0,-4.74,2.08,101.26,0.72
2022,1,19,1,-4.67,2.01,101.27,1.1
2022,1,19,2,-5.35,2.14,101.26,2.03
2022,1,19,3,-5.35,2.2,101.24,2.64
2022,1,19,4,-4.45,2.38,101.23,3
2022,1,19,5,-3.55,2.56,101.21,3.23
2022,1,19,6,-2.33,2.75,101.18,3.68
2022,1,19,7,-1.28,2.93,101.13,4.17
2022,1,19,8,-0.08,3.17,101.09,4.59
